TA,TST
19.301999341,18.7499994114
21.7419992432,21.5799993649
25.1679991692,25.2099990845
29.3799990922,29.5499989688
32.3899990737,33.0399986655
35.0659987956,35.6899988055
36.8539989084,37.5399986506
38.1599988222,38.259999007
38.9419987023,39.2399989367
40.4059986711,40.7199984491
41.9639986575,41.7199988663
43.3019985378,43.079998523
43.937998569,44.0199985504
45.4239985287,45.0599988401
46.709998399,46.1999984384
47.2559984028,46.8399986327
48.4079984844,48.0299982727
49.8639981985,48.9699984789
50.2179983675,49.3199983239
51.3219983041,50.4499986768
52.3819982708,51.4199981689
52.7019981325,51.699998498
53.7359981954,52.9199982285
54.3819981873,53.3599983454
54.8839982152,53.7199984789
55.6339982092,54.2599983811
56.0619982541,54.4399985075
56.9259983361,54.9099983573
57.3039984524,55.6999984682
58.001998359,56.5499982834
58.6979982793,56.9699988961
59.153998363,57.429998517
59.823998493,57.8199984133
60.233998239,58.2399982214
60.6059982419,58.9799982309
61.0999985218,59.4799983799
61.65799824,59.7499985397
61.8119985402,60.0099984407
62.3359982789,60.5399984419
62.7539982975,60.7999984622
62.8559983194,60.8899986744
63.6059983134,61.5699981749
64.0399983585,61.8499984145
64.4159982979,61.9999981523
64.5079980373,62.1699985266
64.859998244,62.5199982822
65.6699982643,62.9599985778
65.9599980235,63.4099980593
66.3219980001,63.9399985671
66.741998136,64.0199981928
67.0359983444,64.589997977
67.3959980845,64.8499980569
68.0019981623,65.0299981833
68.1999981046,65.3899985552
68.2459981799,65.3399984837
68.799998045,65.9499983191
69.0319982529,65.7499982119
69.3819981813,66.5099980235
69.7479983211,66.6899981499
69.9299980879,66.8499981761
70.2839981437,67.3599978685
70.3519981503,67.3099978566
70.8739981532,67.2899978757
71.1059983015,67.4999984503
71.1239981651,67.8299982548
71.9139982224,68.0799981952
71.8759983182,68.0299981236
72.1299983978,68.5699979663
72.6099983335,68.7199979424
72.4879983306,68.7699981332
72.7559983134,68.5399978757
73.1379982352,69.3199983835
72.8559986115,68.8899978995
73.3799984336,69.1799985766
73.4259985209,69.3599980474
74.1219983459,69.799998045
74.4379984856,69.8299978375
74.4479983449,69.8799983859
74.7519983053,70.2899980545
75.0059984803,70.3999980092
74.6359984875,70.0799981356
74.9059982181,70.3199981451
75.1999982834,70.779997766
75.5839985609,70.5999982953
75.7379984736,71.0099978447
75.8179981709,70.9099983573
75.7799983859,70.8799983263
76.3319985628,71.2699978948
76.4259985089,71.4299982786
76.3479983687,71.7099986076
77.1039983749,72.0199981928
77.1919985056,71.7999981642
76.9899986029,71.9699984193
77.5639984012,72.269998312
77.5799983263,72.2499983907
77.6779984951,72.239997983
77.9519982815,72.5699985623
78.0479982615,72.5299983025
78.4319985271,72.7799982429
78.6479983449,72.9599986076
78.3779983163,73.0199981332
78.5659983158,72.9399982691
78.8999984264,73.2399984002
78.8239983559,72.8699985147
79.1519983292,73.5799982548
79.2019981861,73.5299981833
79.5639982939,73.6699985862
79.6179980993,73.3399982452
79.9399983525,74.0499982834
79.8739985704,73.8499982357
80.1359984756,74.0599979758
80.1959983826,74.1299982667
80.3679983497,74.1099978685
80.4399980903,74.1899980307
79.9679985166,73.8799979091
80.6799982309,74.4699978232
80.519998467,74.2299979329
81.1439983249,74.6699981689
80.8999982476,74.6199980974
81.1759981036,74.6899977326
81.4939983726,74.9899979234
81.3319986463,74.6099979281
81.7959984303,75.2999981642
81.5499985814,74.9299983978
81.8959983587,75.0999981761
81.8919983268,75.0299982429
82.0699985027,74.889998734
81.7659984112,74.9099978805
82.0299985766,74.9999982119
82.1419986367,75.2299982309
82.375998497,75.3499982953
82.741998744,75.4699984193
82.6759986877,75.5899977088
82.6119984865,75.6999981403
82.7559987426,75.2499983907
82.6959987283,75.5499978662
82.8119985104,75.5899983644
83.1199989319,75.8499982953
83.2519989967,75.8599983454
83.0979988337,75.7799983025
83.8199991107,76.0099985003
83.7999987245,76.209997952
83.5679988861,75.7799983621
83.3699989796,75.6499982476
84.0619993567,76.5299980044
83.7079990387,75.6799981594
83.2539987922,75.5699982643
84.1379989982,76.0999982953
84.0579989076,76.1299980283
84.2239989758,76.4299983382
84.5779993296,76.4899981022
84.0979991198,76.2199978828
84.3819991589,76.4099986553
84.2719992638,76.1599978209
84.6419994593,76.6399979591
84.9899995923,76.9699980021
84.8279994845,76.5899981856
84.7939993858,76.5099989176
84.5679990411,76.4499981403
85.3559997201,76.7599981427
85.4019996881,76.8199985027
85.2359997749,76.6699985862
85.3399992466,76.6299984455
85.2719995499,76.7199979424
85.6560000777,76.9499981403
85.317999649,76.8399982452
85.7219999909,77.0999984145
85.9179997206,77.1399978995
85.8339996338,77.1499981284
85.9639995933,77.0999983549
85.7659995079,76.799998045
86.0559998155,77.2599979639
86.2819997668,77.2799984217
86.0419998407,76.8899980187
86.4239998817,77.4199978113
86.3199998379,77.4999980927
86.4459999442,77.149998486
86.5419999599,77.2499982715
86.522000134,77.1499978304
86.7180002213,77.4499983191
86.9320001245,77.5399984717
86.7699999928,77.4499979019
87.0720003128,77.6599982977
87.2840004563,77.5099979043
87.3280004621,77.8999977708
87.4420003414,77.6599980593
87.2740004659,77.6899985075
87.1200003386,77.369998455
87.4900004745,77.799998343
87.5720005751,77.6899982691
87.6740005732,77.7799984217
87.6840007186,77.9499982595
87.3260002732,77.589998126
87.8700007319,77.8199989796
87.7320005536,77.7699978948
88.1160007834,77.799998641
87.6960008979,77.8999983072
88.1280010104,78.3199984431
88.0920006514,78.1899980903
87.4600006461,77.8099979162
88.2320007324,77.9599983692
88.5500009179,78.0799981952
88.4780008435,78.1399986148
88.4020009518,77.9199980497
88.7300008655,78.2199982405
88.2220008016,78.0199978352
88.7140008092,78.1299980879
88.7260007977,78.1099982262
88.4020010471,78.0299979448
89.0060009122,78.6199987531
88.5980008245,78.089998126
89.2020011306,78.7199983597
88.9360008836,78.2499978542
88.9140008688,78.1899982691
89.0400011301,78.25999856
89.4520011425,78.579998076
89.2920011401,78.2299982905
89.2420013309,78.6299983859
89.08000108,78.4999976754
89.3100011587,78.5599981546
89.5020013332,78.4999980927
89.4020011663,78.45999825
89.5140010953,78.5099987388
89.1340009093,78.3399984837
89.660001111,78.7899985313
89.5680011988,78.4899978042
89.5800013065,78.4699982405
89.6460011244,78.6699982882
89.6080010414,78.6499985456
90.1540009379,79.0199981332
89.8320014477,78.6899983287
89.9400012493,78.7699984312
89.9860013366,78.7099981904
89.9200013041,78.5899984241
90.1640013099,78.6299982071
90.0720013976,78.8699983358
90.2060012817,78.9799984694
90.3040012598,78.7799981236
90.4700010657,78.9499988556
90.2200008154,78.699998498
90.6760013103,78.8699982166
90.6400013208,79.0699982047
90.146001327,78.5199978948
90.6520011783,79.0699985623
90.4360010982,78.7299982309
90.6280011654,79.0099986196
90.9360011816,78.8799982071
91.1280015588,79.2099983692
90.6120014071,79.0099983811
90.2960010409,78.5399981737
91.0380013585,78.8999981284
90.3820011616,78.769998312
91.2340011477,78.9999989271
90.8400011659,78.9899984002
91.2660014749,78.9799982309
91.3400012136,79.0499981642
91.2540012002,79.2099984288
91.2760011315,79.0299983621
91.1060016394,79.0699986219
91.1640011549,79.0399984121
91.5360013604,79.0999982953
91.6000015974,79.1499981284
91.4820015907,79.2499988675
91.5580012083,79.239998281
91.6260012269,79.179998219
90.5200014591,78.7899981737
91.5080015421,78.9499979019
91.9480015516,79.4299985766
92.0060010672,79.4199981689
91.7360014915,79.1899983883
92.0800012708,79.3499987125
91.7740013242,79.1999980807
92.1700013041,79.4399983883
92.0660012603,79.2599983215
91.9740012407,79.1399978995
92.1060016155,79.0699983835
92.07800138,79.1299982667
92.3140014768,79.2899982333
92.2680012703,79.3099985123
92.23000139,79.2899984121
91.7300011754,79.1499976516
92.4280011654,79.2999982238
92.1480012774,79.329998672
92.2880010843,79.4699980617
92.712001276,79.4799983501
92.1780014634,79.1299983263
92.0600012541,79.4099983573
92.6360013604,79.5399985909
92.5860013127,79.5799989104
92.6620012999,79.3799985051
92.4840014815,79.3999983668
92.68000108,79.6099988222
92.8680013418,79.2299984097
92.8020011544,79.1499982476
92.8320013404,79.279998064
92.7380010605,79.26999861
92.6200013518,79.419998467
93.0780014277,79.5499982834
93.1820009947,79.5699983835
92.6900016785,79.269998312
93.156001091,79.5399982929
93.0120011568,79.4599981308
93.1640010238,79.5599983931
92.988001132,79.3599981666
93.0840011716,79.6299979687
93.2840012193,79.7999982834
93.050001514,79.5399985909
93.3420012474,79.4699983001
93.4600011945,79.7299982309
93.1680012822,79.4799984097
93.5540011048,79.5499984622
93.6080010176,79.739998579
92.9700011849,79.1199983358
93.3600012064,79.4999983907
93.4580012202,79.6799983382
93.6060012579,79.3799983859
93.806000948,79.6799983382
93.442001164,79.5399984121
93.6640010834,79.6499983072
93.1280011654,79.1599978209
93.0400012136,79.1799983978
93.78000108,79.4799984097
93.9260008574,79.7099984288
93.9600011945,79.7999982238
93.93000108,79.8499984741
94.0400009274,79.949998498
93.9020007014,79.7899981737
93.8020010471,79.5399980545
94.1040009856,79.6399980783
94.002001071,79.6599981785
94.0560007572,79.7799983621
93.9400010824,79.5799977183
94.2360010624,79.5899986029
94.3520004749,79.7199980021
94.2160006523,79.5299980044
94.3440007329,79.8299978971
93.7740009904,79.5599979758
93.7760010362,79.2999979258
94.076000917,79.6099980474
94.1180008411,79.7199983001
94.2540010929,79.549998045
94.4900008678,79.8299983144
94.2340005636,79.9099982977
94.4280007601,79.8099982142
94.2620009422,79.6299979687
94.4340009928,80.0599986911
94.0520011187,79.5199979544
94.6000006318,79.8099982142
94.2980008483,79.709998548
94.692000711,79.9199981093
94.6540008187,80.2499985695
94.5780010343,79.8999991417
94.5280008316,79.7799980044
94.8580005288,80.0099984407
94.6140006423,80.209998548
94.6480007648,80.1099985242
94.7920005918,79.8499982953
94.6580006719,79.709997654
94.9600005627,79.9699985385
94.7320007443,80.0099984407
94.5980007887,79.959998548
94.838000536,79.8899983764
94.764000535,79.9499988556
94.4360007882,79.6899982691
94.7160007596,79.7199987769
94.9620004177,80.1899983883
95.0520002604,79.7899979949
94.872000587,79.8599982858
94.7320006847,79.8899979591
94.9280005336,79.5699977875
95.0020003796,80.1699982882
94.7160008192,79.6799986362
94.6920007467,79.7899984717
95.2440001488,80.0399982333
95.3000003815,79.9899977446
94.8720005989,79.6999984384
95.2040007234,80.0299983025
94.9880001783,79.7899981141
94.9320007801,79.7199985385
94.9120009422,79.5399979949
95.1840005279,79.7799980044
95.3740003347,80.1999986172
95.0700006008,79.7399982214
94.9420006037,79.76999861
95.180000484,79.7599980235
95.1980005264,79.8999983668
95.0660008073,79.7499985099
95.3360002279,79.899998486
95.3420003772,79.6999984384
95.096000731,79.9499985576
95.2680004358,79.8399980068
95.6580001831,79.9799981117
95.3800004125,79.8999978304
95.3900001526,79.9599981308
95.6640004754,80.3099979758
95.3960002184,79.7199984193
95.4960003853,79.8899975419
95.7620002508,80.1799978018
95.774000001,80.0399984121
